Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,,,,
2017-18,3,Metropolitan," 167,623 "," 169,696 "," 451,097 "," 459,843 "," 618,720 "," 629,539 ",,,,
2017-18,3,Northern," 292,953 "," 298,100 "," 878,397 "," 889,665 "," 1,171,350 "," 1,187,765 ",,,,
2017-18,3,Piccadilly," 228,280 "," 248,291 "," 685,756 "," 749,300 "," 914,036 "," 997,592 ",,,,
2017-18,3,Victoria," 169,441 "," 173,713 "," 432,104 "," 439,947 "," 601,545 "," 613,660 ",,,,
2017-18,3,Waterloo & City," 10,518 "," 10,934 "," 16,555 "," 16,751 "," 27,073 "," 27,685 ",,,,
2017-18,4,Bakerloo," 73,800 "," 75,746 "," 215,513 "," 220,951 "," 289,313 "," 296,697 ",,,,
2017-18,4,C&H," 71,839 "," 76,048 "," 228,403 "," 241,307 "," 300,242 "," 317,355 ",,,,
2017-18,4,Central," 260,223 "," 279,856 "," 753,495 "," 782,410 "," 1,013,717 "," 1,062,266 ",,,,
2017-18,4,District," 202,244 "," 209,162 "," 553,628 "," 564,554 "," 755,872 "," 773,716 ",,,,
2017-18,4,Jubilee," 217,930 "," 221,925 "," 628,856 "," 643,117 "," 846,786 "," 865,042 ",,,,
2017-18,4,Metropolitan," 169,146 "," 171,626 "," 434,019 "," 440,453 "," 603,165 "," 612,079 ",,,,
2017-18,4,Northern," 295,743 "," 298,869 "," 876,359 "," 890,288 "," 1,172,102 "," 1,189,157 ",,,,
2017-18,4,Piccadilly," 228,476 "," 249,433 "," 687,273 "," 750,328 "," 915,749 "," 999,761 ",,,,
2017-18,4,Victoria," 172,837 "," 175,020 "," 424,851 "," 427,704 "," 597,688 "," 602,724 ",,,,
2017-18,4,Waterloo & City," 11,010 "," 11,230 "," 16,698 "," 16,894 "," 27,707 "," 28,124 ",,,,
2017-18,5,Bakerloo," 70,512 "," 75,746 "," 206,125 "," 217,684 "," 276,637 "," 293,430 ",,,,
2017-18,5,C&H," 72,688 "," 76,055 "," 242,765 "," 253,648 "," 315,453 "," 329,703 ",,,,
2017-18,5,Central," 262,538 "," 279,997 "," 750,791 "," 782,259 "," 1,013,329 "," 1,062,256 ",,,,
2017-18,5,District," 200,440 "," 209,119 "," 558,618 "," 573,466 "," 759,058 "," 782,586 ",,,,
