"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2021 to Mar 2022 (Period 07)","Northern Trains","63088","720","808","1168.0","1.85","1.95"
"Apr 2021 to Mar 2022 (Period 08)","Northern Trains","63567","1115","1314","1871.5","2.94","2.01"
"Apr 2021 to Mar 2022 (Period 09)","Northern Trains","63009","1409","2357","3061.5","4.86","2.29"
"Apr 2021 to Mar 2022 (Period 10)","Northern Trains","55701","1050","2321","2846.0","5.11","2.55"
"Apr 2021 to Mar 2022 (Period 11)","Northern Trains","57909","882","1390","1831.0","3.16","2.54"
"Apr 2021 to Mar 2022 (Period 12)","Northern Trains","57047","1585","3787","4579.5","8.03","3.04"
"Apr 2021 to Mar 2022 (Period 13)","Northern Trains","53628","1038","2285","2804.0","5.23","3.30"
"Apr 2022 to Mar 2023 (Period 01)","Northern Trains","62025","1009","1668","2172.5","3.50","3.49"
"Apr 2022 to Mar 2023 (Period 02)","Northern Trains","57280","924","1800","2262.0","3.95","3.67"
"Apr 2022 to Mar 2023 (Period 03)","Northern Trains","49150","998","1483","1982.0","4.03","3.83"
"Apr 2022 to Mar 2023 (Period 04)","Northern Trains","54590","1276","1858","2496.0","4.57","3.93"
"Apr 2022 to Mar 2023 (Period 05)","Northern Trains","49037","1027","1477","1990.5","4.06","4.07"
"Apr 2022 to Mar 2023 (Period 06)","Northern Trains","54932","1185","1543","2135.5","3.89","4.21"
"Apr 2022 to Mar 2023 (Period 07)","Northern Trains","48931","975","1209","1696.5","3.47","4.37"
"Apr 2022 to Mar 2023 (Period 08)","Northern Trains","50880","1261","1786","2416.5","4.75","4.52"
"Apr 2022 to Mar 2023 (Period 09)","Northern Trains","53544","1269","1740","2374.5","4.43","4.48"
"Apr 2022 to Mar 2023 (Period 10)","Northern Trains","27855","788","1780","2174.0","7.80","4.57"
"Apr 2022 to Mar 2023 (Period 11)","Northern Trains","62184","1072","1639","2175.0","3.50","4.59"
"Apr 2022 to Mar 2023 (Period 12)","Northern Trains","66517","1259","2352","2981.5","4.48","4.30"
"Apr 2022 to Mar 2023 (Period 13)","Northern Trains","59534","1067","1922","2455.5","4.12","4.21"
"Apr 2023 to Mar 2024 (Period 01)","Northern Trains","69553","1089","1995","2539.5","3.65","4.22"
"Apr 2023 to Mar 2024 (Period 02)","Northern Trains","61870","1134","1896","2463.0","3.98","4.22"
"Apr 2023 to Mar 2024 (Period 03)","Northern Trains","58700","1250","2609","3234.0","5.51","4.34"
"Apr 2023 to Mar 2024 (Period 04)","Northern Trains","60985","1121","2124","2684.5","4.40","4.32"
"Apr 2023 to Mar 2024 (Period 05)","Northern Trains","62366","1346","3407","4080.0","6.54","4.53"
"Apr 2023 to Mar 2024 (Period 06)","Northern Trains","57513","1183","2566","3157.5","5.49","4.65"
"Apr 2023 to Mar 2024 (Period 07)","Northern Trains","60055","1248","2650","3274.0","5.45","4.79"
"Apr 2023 to Mar 2024 (Period 08)","Northern Trains","64694","1913","3965","4921.5","7.61","5.03"
"Apr 2023 to Mar 2024 (Period 09)","Northern Trains","62495","2061","4206","5236.5","8.38","5.34"
"Apr 2023 to Mar 2024 (Period 10)","Northern Trains","58432","1573","3517","4303.5","7.36","5.41"
"Apr 2023 to Mar 2024 (Period 11)","Northern Trains","63453","1240","1680","2300.0","3.62","5.41"
"Apr 2023 to Mar 2024 (Period 12)","Northern Trains","62323","1003","1837","2338.5","3.75","5.36"
"Apr 2023 to Mar 2024 (Period 13)","Northern Trains","65534","1015","1550","2057.5","3.14","5.27"
"Apr 2024 to Mar 2025 (Period 01)","Northern Trains","60344","932","1311","1777.0","2.94","5.24"
"Apr 2024 to Mar 2025 (Period 02)","Northern Trains","60961","1185","2526","3118.5","5.12","5.32"
"Apr 2024 to Mar 2025 (Period 03)","Northern Trains","62998","1332","3157","3823.0","6.07","5.37"
"Apr 2024 to Mar 2025 (Period 04)","Northern Trains","62343","1529","3578","4342.5","6.97","5.57"
"Apr 2024 to Mar 2025 (Period 05)","Northern Trains","65037","1414","2834","3541.0","5.44","5.48"
"Apr 2024 to Mar 2025 (Period 06)","Northern Trains","65566","1597","3741","4539.5","6.92","5.60"
"Apr 2024 to Mar 2025 (Period 07)","Northern Trains","65019","1593","3619","4415.5","6.79","5.70"
"Apr 2024 to Mar 2025 (Period 08)","Northern Trains","64157","1896","4245","5193.0","8.09","5.74"
"Apr 2024 to Mar 2025 (Period 09)","Northern Trains","64879","1915","4063","5020.5","7.74","5.70"
"Apr 2024 to Mar 2025 (Period 10)","Northern Trains","57400","1785","4120","5012.5","8.73","5.79"
"Apr 2024 to Mar 2025 (Period 11)","Northern Trains","67079","1780","3096","3986.0","5.94","5.97"
"Apr 2024 to Mar 2025 (Period 12)","Northern Trains","68661","1269","1638","2272.5","3.31","5.92"
"Apr 2024 to Mar 2025 (Period 13)","Northern Trains","71641","1069","1291","1825.5","2.55","5.84"
"Apr 2025 to Mar 2026 (Period 01)","Northern Trains","63769","982","1382","1873.0","2.94","5.83"
"Apr 2025 to Mar 2026 (Period 02)","Northern Trains","68268","1085","1816","2358.5","3.45","5.69"
"Apr 2025 to Mar 2026 (Period 03)","Northern Trains","67602","1376","1599","2287.0","3.38","5.48"
"Apr 2025 to Mar 2026 (Period 04)","Northern Trains","68259","1241","1742","2362.5","3.46","5.21"
"Apr 2025 to Mar 2026 (Period 05)","Northern Trains","66472","1542","2140","2911.0","4.38","5.13"
"Apr 2025 to Mar 2026 (Period 06)","Northern Trains","68181","1356","1974","2652.0","3.89","4.90"
"Apr 2025 to Mar 2026 (Period 07)","Northern Trains","68252","1644","1758","2580.0","3.78","4.66"
"Apr 2025 to Mar 2026 (Period 08)","Northern Trains","67672","1325","1343","2005.5","2.96","4.28"
"Apr 2025 to Mar 2026 (Period 09)","Northern Trains","68038","1955","2166","3143.5","4.62","4.05"
"Apr 2025 to Mar 2026 (Period 10)","Northern Trains","62626","1512","2513","3269.0","5.22","3.82"
"Apr 2025 to Mar 2026 (Period 11)","Northern Trains","70513","1244","1435","2057.0","2.92","3.59"
"Apr 2019 to Mar 2020 (Period 01)","ScotRail","60821","765","1866","2248.5","3.70","[z]"
"Apr 2019 to Mar 2020 (Period 02)","ScotRail","62452","633","1280","1596.5","2.56","[z]"
"Apr 2019 to Mar 2020 (Period 03)","ScotRail","62768","676","1162","1500.0","2.39","[z]"
"Apr 2019 to Mar 2020 (Period 04)","ScotRail","61823","674","1036","1373.0","2.22","[z]"
"Apr 2019 to Mar 2020 (Period 05)","ScotRail","62198","757","1252","1630.5","2.62","[z]"
"Apr 2019 to Mar 2020 (Period 06)","ScotRail","62099","658","909","1238.0","1.99","[z]"
"Apr 2019 to Mar 2020 (Period 07)","ScotRail","61309","672","1002","1338.0","2.18","[z]"
"Apr 2019 to Mar 2020 (Period 08)","ScotRail","62338","879","1281","1720.5","2.76","[z]"
"Apr 2019 to Mar 2020 (Period 09)","ScotRail","62294","1002","1140","1641.0","2.63","[z]"
"Apr 2019 to Mar 2020 (Period 10)","ScotRail","54020","731","977","1342.5","2.49","[z]"
"Apr 2019 to Mar 2020 (Period 11)","ScotRail","62678","669","1044","1378.5","2.20","[z]"
"Apr 2019 to Mar 2020 (Period 12)","ScotRail","63173","1027","1332","1845.5","2.92","[z]"
"Apr 2019 to Mar 2020 (Period 13)","ScotRail","58582","510","744","999.0","1.71","2.49"
"Apr 2020 to Mar 2021 (Period 01)","ScotRail","32691","151","149","224.5","0.69","2.32"
"Apr 2020 to Mar 2021 (Period 02)","ScotRail","27769","193","252","348.5","1.25","2.26"
"Apr 2020 to Mar 2021 (Period 03)","ScotRail","35169","174","338","425.0","1.21","2.20"
"Apr 2020 to Mar 2021 (Period 04)","ScotRail","40374","210","309","414.0","1.03","2.12"
"Apr 2020 to Mar 2021 (Period 05)","ScotRail","50999","521","1654","1914.5","3.75","2.20"
"Apr 2020 to Mar 2021 (Period 06)","ScotRail","55552","489","1026","1270.5","2.29","2.23"
"Apr 2020 to Mar 2021 (Period 07)","ScotRail","57224","546","891","1164.0","2.03","2.22"
"Apr 2020 to Mar 2021 (Period 08)","ScotRail","57267","699","806","1155.5","2.02","2.15"
"Apr 2020 to Mar 2021 (Period 09)","ScotRail","56762","697","803","1151.5","2.03","2.09"
"Apr 2020 to Mar 2021 (Period 10)","ScotRail","44528","454","680","907.0","2.04","2.05"
"Apr 2020 to Mar 2021 (Period 11)","ScotRail","48998","564","622","904.0","1.84","2.02"
"Apr 2020 to Mar 2021 (Period 12)","ScotRail","43574","945","1490","1962.5","4.50","2.11"
"Apr 2020 to Mar 2021 (Period 13)","ScotRail","38237","255","318","445.5","1.17","2.09"
"Apr 2021 to Mar 2022 (Period 01)","ScotRail","46561","318","356","515.0","1.11","2.09"
"Apr 2021 to Mar 2022 (Period 02)","ScotRail","44076","416","602","810.0","1.84","2.11"
"Apr 2021 to Mar 2022 (Period 03)","ScotRail","48290","368","733","917.0","1.90","2.14"
"Apr 2021 to Mar 2022 (Period 04)","ScotRail","47879","598","1082","1381.0","2.88","2.27"
"Apr 2021 to Mar 2022 (Period 05)","ScotRail","48290","578","1068","1357.0","2.81","2.19"
"Apr 2021 to Mar 2022 (Period 06)","ScotRail","48250","359","968","1147.5","2.38","2.19"
"Apr 2021 to Mar 2022 (Period 07)","ScotRail","47920","483","1012","1253.5","2.62","2.24"
"Apr 2021 to Mar 2022 (Period 08)","ScotRail","50226","807","998","1401.5","2.79","2.31"
"Apr 2021 to Mar 2022 (Period 09)","ScotRail","51939","783","1963","2354.5","4.53","2.52"
"Apr 2021 to Mar 2022 (Period 10)","ScotRail","44467","527","1716","1979.5","4.45","2.70"
"Apr 2021 to Mar 2022 (Period 11)","ScotRail","49229","536","1167","1435.0","2.91","2.79"
"Apr 2021 to Mar 2022 (Period 12)","ScotRail","50246","502","1212","1463.0","2.91","2.67"
"Apr 2021 to Mar 2022 (Period 13)","ScotRail","47233","618","866","1175.0","2.49","2.75"
"Apr 2022 to Mar 2023 (Period 01)","ScotRail","54607","415","964","1171.5","2.15","2.82"
"Apr 2022 to Mar 2023 (Period 02)","ScotRail","47622","503","1362","1613.5","3.39","2.93"
"Apr 2022 to Mar 2023 (Period 03)","ScotRail","32993","301","455","605.5","1.84","2.95"
"Apr 2022 to Mar 2023 (Period 04)","ScotRail","39822","332","517","683.0","1.72","2.88"
"Apr 2022 to Mar 2023 (Period 05)","ScotRail","48614","536","1064","1332.0","2.74","2.87"
"Apr 2022 to Mar 2023 (Period 06)","ScotRail","55645","439","925","1144.5","2.06","2.84"
"Apr 2022 to Mar 2023 (Period 07)","ScotRail","49753","636","1068","1386.0","2.79","2.85"
"Apr 2022 to Mar 2023 (Period 08)","ScotRail","49613","753","2008","2384.5","4.81","3.01"
"Apr 2022 to Mar 2023 (Period 09)","ScotRail","55300","644","1643","1965.0","3.55","2.93"
"Apr 2022 to Mar 2023 (Period 10)","ScotRail","31655","624","2681","2993.0","9.46","3.16"
"Apr 2022 to Mar 2023 (Period 11)","ScotRail","55456","528","753","1017.0","1.83","3.06"
"Apr 2022 to Mar 2023 (Period 12)","ScotRail","56160","435","757","974.5","1.74","2.95"
"Apr 2022 to Mar 2023 (Period 13)","ScotRail","53418","498","847","1096.0","2.05","2.91"
"Apr 2023 to Mar 2024 (Period 01)","ScotRail","57261","503","756","1007.5","1.76","2.87"
"Apr 2023 to Mar 2024 (Period 02)","ScotRail","55340","471","800","1035.5","1.87","2.75"
"Apr 2023 to Mar 2024 (Period 03)","ScotRail","55314","623","1028","1339.5","2.42","2.77"
"Apr 2023 to Mar 2024 (Period 04)","ScotRail","53618","372","548","734.0","1.37","2.72"
"Apr 2023 to Mar 2024 (Period 05)","ScotRail","54655","497","723","971.5","1.78","2.64"
"Apr 2023 to Mar 2024 (Period 06)","ScotRail","55331","450","974","1199.0","2.17","2.65"
"Apr 2023 to Mar 2024 (Period 07)","ScotRail","53812","688","1818","2162.0","4.02","2.75"
"Apr 2023 to Mar 2024 (Period 08)","ScotRail","53540","745","1540","1912.5","3.57","2.66"
"Apr 2023 to Mar 2024 (Period 09)","ScotRail","54977","579","932","1221.5","2.22","2.56"
"Apr 2023 to Mar 2024 (Period 10)","ScotRail","48633","694","1465","1812.0","3.73","2.33"
"Apr 2023 to Mar 2024 (Period 11)","ScotRail","51372","638","1318","1637.0","3.19","2.43"
"Apr 2023 to Mar 2024 (Period 12)","ScotRail","56759","436","585","803.0","1.41","2.40"
"Apr 2023 to Mar 2024 (Period 13)","ScotRail","57929","396","584","782.0","1.35","2.35"
"Apr 2024 to Mar 2025 (Period 01)","ScotRail","55509","508","787","1041.0","1.88","2.36"
"Apr 2024 to Mar 2025 (Period 02)","ScotRail","56901","362","708","889.0","1.56","2.33"
"Apr 2024 to Mar 2025 (Period 03)","ScotRail","57282","385","785","977.5","1.71","2.27"
"Apr 2024 to Mar 2025 (Period 04)","ScotRail","49651","484","1280","1522.0","3.07","2.40"
"Apr 2024 to Mar 2025 (Period 05)","ScotRail","41527","328","568","732.0","1.76","2.41"
"Apr 2024 to Mar 2025 (Period 06)","ScotRail","42110","315","469","626.5","1.49","2.37"
"Apr 2024 to Mar 2025 (Period 07)","ScotRail","45613","372","436","622.0","1.36","2.17"
"Apr 2024 to Mar 2025 (Period 08)","ScotRail","58035","718","1112","1471.0","2.53","2.09"
"Apr 2024 to Mar 2025 (Period 09)","ScotRail","57875","722","1333","1694.0","2.93","2.15"
"Apr 2024 to Mar 2025 (Period 10)","ScotRail","50522","642","1257","1578.0","3.12","2.11"
"Apr 2024 to Mar 2025 (Period 11)","ScotRail","52117","584","1001","1293.0","2.48","2.06"
"Apr 2024 to Mar 2025 (Period 12)","ScotRail","56658","506","630","883.0","1.56","2.07"
"Apr 2024 to Mar 2025 (Period 13)","ScotRail","59585","403","668","869.5","1.46","2.08"
"Apr 2025 to Mar 2026 (Period 01)","ScotRail","53081","440","569","789.0","1.49","2.05"
"Apr 2025 to Mar 2026 (Period 02)","ScotRail","56758","555","657","934.5","1.65","2.06"
"Apr 2025 to Mar 2026 (Period 03)","ScotRail","58256","418","713","922.0","1.58","2.04"
"Apr 2025 to Mar 2026 (Period 04)","ScotRail","58444","612","997","1303.0","2.23","1.99"
"Apr 2025 to Mar 2026 (Period 05)","ScotRail","56967","717","1434","1792.5","3.15","2.09"
"Apr 2025 to Mar 2026 (Period 06)","ScotRail","57843","445","654","876.5","1.52","2.08"
"Apr 2025 to Mar 2026 (Period 07)","ScotRail","56256","616","1367","1675.0","2.98","2.20"
"Apr 2025 to Mar 2026 (Period 08)","ScotRail","58463","699","755","1104.5","1.89","2.14"
"Apr 2025 to Mar 2026 (Period 09)","ScotRail","58453","732","1503","1869.0","3.20","2.17"
"Apr 2025 to Mar 2026 (Period 10)","ScotRail","51294","525","745","1007.5","1.96","2.09"
"Apr 2025 to Mar 2026 (Period 11)","ScotRail","58196","540","582","852.0","1.46","2.01"
"Apr 2019 to Mar 2020 (Period 01)","South Western Railway","44245","698","697","1046.0","2.36","[z]"
"Apr 2019 to Mar 2020 (Period 02)","South Western Railway","46741","1137","639","1207.5","2.58","[z]"
"Apr 2019 to Mar 2020 (Period 03)","South Western Railway","44684","824","480","892.0","2.00","[z]"
"Apr 2019 to Mar 2020 (Period 04)","South Western Railway","48771","1408","1384","2088.0","4.28","[z]"
"Apr 2019 to Mar 2020 (Period 05)","South Western Railway","48581","1305","924","1576.5","3.25","[z]"
"Apr 2019 to Mar 2020 (Period 06)","South Western Railway","45787","943","889","1360.5","2.97","[z]"
"Apr 2019 to Mar 2020 (Period 07)","South Western Railway","47042","1440","842","1562.0","3.32","[z]"
"Apr 2019 to Mar 2020 (Period 08)","South Western Railway","47487","1418","1234","1943.0","4.09","[z]"
"Apr 2019 to Mar 2020 (Period 09)","South Western Railway","43681","1594","1394","2191.0","5.02","[z]"
"Apr 2019 to Mar 2020 (Period 10)","South Western Railway","24994","609","751","1055.5","4.22","[z]"
"Apr 2019 to Mar 2020 (Period 11)","South Western Railway","46096","1595","1287","2084.5","4.52","[z]"
"Apr 2019 to Mar 2020 (Period 12)","South Western Railway","47471","1108","1362","1916.0","4.04","[z]"
"Apr 2019 to Mar 2020 (Period 13)","South Western Railway","46881","1365","2454","3136.5","6.69","3.79"
"Apr 2020 to Mar 2021 (Period 01)","South Western Railway","31157","162","115","196.0","0.63","3.72"
"Apr 2020 to Mar 2021 (Period 02)","South Western Railway","29095","215","157","264.5","0.91","3.67"
"Apr 2020 to Mar 2021 (Period 03)","South Western Railway","34596","337","372","540.5","1.56","3.68"
"Apr 2020 to Mar 2021 (Period 04)","South Western Railway","38554","329","344","508.5","1.32","3.45"
"Apr 2020 to Mar 2021 (Period 05)","South Western Railway","39954","588","579","873.0","2.19","3.37"
"Apr 2020 to Mar 2021 (Period 06)","South Western Railway","40756","519","390","649.5","1.59","3.27"
"Apr 2020 to Mar 2021 (Period 07)","South Western Railway","42831","619","644","953.5","2.23","3.18"
"Apr 2020 to Mar 2021 (Period 08)","South Western Railway","42626","598","611","910.0","2.13","3.00"
"Apr 2020 to Mar 2021 (Period 09)","South Western Railway","42001","670","903","1238.0","2.95","2.83"
"Apr 2020 to Mar 2021 (Period 10)","South Western Railway","35144","418","825","1034.0","2.94","2.77"
"Apr 2020 to Mar 2021 (Period 11)","South Western Railway","35176","596","473","771.0","2.19","2.57"
"Apr 2020 to Mar 2021 (Period 12)","South Western Railway","36046","419","280","489.5","1.36","2.34"
"Apr 2020 to Mar 2021 (Period 13)","South Western Railway","31719","394","239","436.0","1.37","1.85"
"Apr 2021 to Mar 2022 (Period 01)","South Western Railway","40023","517","265","523.5","1.31","1.88"
"Apr 2021 to Mar 2022 (Period 02)","South Western Railway","38905","863","410","841.5","2.16","1.96"
"Apr 2021 to Mar 2022 (Period 03)","South Western Railway","41035","1190","1062","1657.0","4.04","2.16"
"Apr 2021 to Mar 2022 (Period 04)","South Western Railway","41000","867","919","1352.5","3.30","2.31"
"Apr 2021 to Mar 2022 (Period 05)","South Western Railway","40583","469","440","674.5","1.66","2.27"
"Apr 2021 to Mar 2022 (Period 06)","South Western Railway","41513","675","471","808.5","1.95","2.30"
"Apr 2021 to Mar 2022 (Period 07)","South Western Railway","41326","685","532","874.5","2.12","2.29"
"Apr 2021 to Mar 2022 (Period 08)","South Western Railway","41461","863","1224","1655.5","3.99","2.44"
"Apr 2021 to Mar 2022 (Period 09)","South Western Railway","41909","770","797","1182.0","2.82","2.43"
"Apr 2021 to Mar 2022 (Period 10)","South Western Railway","37022","556","465","743.0","2.01","2.37"
"Apr 2021 to Mar 2022 (Period 11)","South Western Railway","37108","472","361","597.0","1.61","2.32"
"Apr 2021 to Mar 2022 (Period 12)","South Western Railway","40182","922","2635","3096.0","7.70","2.81"
"Apr 2021 to Mar 2022 (Period 13)","South Western Railway","38903","510","302","557.0","1.43","2.80"
"Apr 2022 to Mar 2023 (Period 01)","South Western Railway","43745","621","706","1016.5","2.32","2.87"
"Apr 2022 to Mar 2023 (Period 02)","South Western Railway","42619","429","295","509.5","1.20","2.79"
"Apr 2022 to Mar 2023 (Period 03)","South Western Railway","37642","1011","473","978.5","2.60","2.68"
"Apr 2022 to Mar 2023 (Period 04)","South Western Railway","42343","805","769","1171.5","2.77","2.63"
"Apr 2022 to Mar 2023 (Period 05)","South Western Railway","38349","839","902","1321.5","3.45","2.77"
"Apr 2022 to Mar 2023 (Period 06)","South Western Railway","42663","728","460","824.0","1.93","2.77"
"Apr 2022 to Mar 2023 (Period 07)","South Western Railway","39940","543","216","487.5","1.22","2.70"
"Apr 2022 to Mar 2023 (Period 08)","South Western Railway","40657","815","699","1106.5","2.72","2.60"
"Apr 2022 to Mar 2023 (Period 09)","South Western Railway","42134","1416","949","1657.0","3.93","2.69"
"Apr 2022 to Mar 2023 (Period 10)","South Western Railway","15555","334","645","812.0","5.22","2.82"
"Apr 2022 to Mar 2023 (Period 11)","South Western Railway","42360","1109","1734","2288.5","5.40","3.12"
"Apr 2022 to Mar 2023 (Period 12)","South Western Railway","43896","667","680","1013.5","2.31","2.69"
"Apr 2022 to Mar 2023 (Period 13)","South Western Railway","38617","585","360","652.5","1.69","2.71"
"Apr 2023 to Mar 2024 (Period 01)","South Western Railway","46099","1043","1399","1920.5","4.17","2.87"
"Apr 2023 to Mar 2024 (Period 02)","South Western Railway","42562","735","525","892.5","2.10","2.95"
"Apr 2023 to Mar 2024 (Period 03)","South Western Railway","42400","916","1012","1470.0","3.47","3.02"
"Apr 2023 to Mar 2024 (Period 04)","South Western Railway","36389","777","516","904.5","2.49","3.00"
"Apr 2023 to Mar 2024 (Period 05)","South Western Railway","38026","529","416","680.5","1.79","2.88"
"Apr 2023 to Mar 2024 (Period 06)","South Western Railway","39389","625","526","838.5","2.13","2.90"
"Apr 2023 to Mar 2024 (Period 07)","South Western Railway","41062","1006","598","1101.0","2.68","3.01"
"Apr 2023 to Mar 2024 (Period 08)","South Western Railway","44829","1118","1216","1775.0","3.96","3.12"
"Apr 2023 to Mar 2024 (Period 09)","South Western Railway","40927","1382","1700","2391.0","5.84","3.27"
"Apr 2023 to Mar 2024 (Period 10)","South Western Railway","39285","1169","1379","1963.5","5.00","3.34"
"Apr 2023 to Mar 2024 (Period 11)","South Western Railway","40879","1055","802","1329.5","3.25","3.17"
"Apr 2023 to Mar 2024 (Period 12)","South Western Railway","41732","1038","616","1135.0","2.72","3.20"
"Apr 2023 to Mar 2024 (Period 13)","South Western Railway","45044","1011","1139","1644.5","3.65","3.35"
"Apr 2024 to Mar 2025 (Period 01)","South Western Railway","39922","900","1283","1733.0","4.34","3.35"
"Apr 2024 to Mar 2025 (Period 02)","South Western Railway","40732","802","695","1096.0","2.69","3.40"
"Apr 2024 to Mar 2025 (Period 03)","South Western Railway","44080","1010","596","1101.0","2.50","3.32"
"Apr 2024 to Mar 2025 (Period 04)","South Western Railway","43938","1212","601","1207.0","2.75","3.33"
"Apr 2024 to Mar 2025 (Period 05)","South Western Railway","43467","1167","990","1573.5","3.62","3.46"
"Apr 2024 to Mar 2025 (Period 06)","South Western Railway","42711","888","1255","1699.0","3.98","3.60"
"Apr 2024 to Mar 2025 (Period 07)","South Western Railway","42544","1472","1144","1880.0","4.42","3.73"
"Apr 2024 to Mar 2025 (Period 08)","South Western Railway","44182","1247","882","1505.5","3.41","3.69"
"Apr 2024 to Mar 2025 (Period 09)","South Western Railway","44312","2076","1843","2881.0","6.50","3.75"
"Apr 2024 to Mar 2025 (Period 10)","South Western Railway","39563","930","1279","1744.0","4.41","3.71"
"Apr 2024 to Mar 2025 (Period 11)","South Western Railway","42792","1030","910","1425.0","3.33","3.72"
"Apr 2024 to Mar 2025 (Period 12)","South Western Railway","43986","849","730","1154.5","2.62","3.70"
"Apr 2024 to Mar 2025 (Period 13)","South Western Railway","47196","1093","761","1307.5","2.77","3.63"
"Apr 2025 to Mar 2026 (Period 01)","South Western Railway","40912","1180","1000","1590.0","3.89","3.60"
"Apr 2025 to Mar 2026 (Period 02)","South Western Railway","43616","932","387","853.0","1.96","3.54"
"Apr 2025 to Mar 2026 (Period 03)","South Western Railway","43035","1353","842","1518.5","3.53","3.62"
"Apr 2025 to Mar 2026 (Period 04)","South Western Railway","44004","1509","1772","2526.5","5.74","3.85"
"Apr 2025 to Mar 2026 (Period 05)","South Western Railway","42938","1100","1415","1965.0","4.58","3.92"
"Apr 2025 to Mar 2026 (Period 06)","South Western Railway","42243","930","692","1157.0","2.74","3.83"
"Apr 2025 to Mar 2026 (Period 07)","South Western Railway","44277","1291","1049","1694.5","3.83","3.79"
"Apr 2025 to Mar 2026 (Period 08)","South Western Railway","44364","1710","1650","2505.0","5.65","3.96"
"Apr 2025 to Mar 2026 (Period 09)","South Western Railway","44110","2164","734","1816.0","4.12","3.78"
"Apr 2025 to Mar 2026 (Period 10)","South Western Railway","38697","1241","1163","1783.5","4.61","3.79"
"Apr 2025 to Mar 2026 (Period 11)","South Western Railway","43315","1373","793","1479.5","3.42","3.79"
"Apr 2019 to Mar 2020 (Period 01)","Southeastern","49061","736","575","943.0","1.92","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Southeastern","49705","948","481","955.0","1.92","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Southeastern","49375","863","489","920.5","1.86","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Southeastern","49606","985","498","990.5","2.00","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Southeastern","48625","1308","624","1278.0","2.63","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Southeastern","49245","760","357","737.0","1.50","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Southeastern","49113","1074","706","1243.0","2.53","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Southeastern","49029","1015","520","1027.5","2.10","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Southeastern","49172","1827","865","1778.5","3.62","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Southeastern","43855","1246","715","1338.0","3.05","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Southeastern","49267","1212","520","1126.0","2.29","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Southeastern","48573","1730","1098","1963.0","4.04","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Southeastern","48972","1032","659","1175.0","2.40","2.44"
"Apr 2020 to Mar 2021 (Period 01)","Southeastern","37150","347","223","396.5","1.07","2.40"
"Apr 2020 to Mar 2021 (Period 02)","Southeastern","34210","316","170","328.0","0.96","2.36"
"Apr 2020 to Mar 2021 (Period 03)","Southeastern","36681","453","209","435.5","1.19","2.33"
"Apr 2020 to Mar 2021 (Period 04)","Southeastern","40395","526","235","498.0","1.23","2.28"
"Apr 2020 to Mar 2021 (Period 05)","Southeastern","41217","764","397","779.0","1.89","2.22"
"Apr 2020 to Mar 2021 (Period 06)","Southeastern","45853","684","512","854.0","1.86","2.26"
"Apr 2020 to Mar 2021 (Period 07)","Southeastern","49551","788","388","782.0","1.58","2.17"
"Apr 2020 to Mar 2021 (Period 08)","Southeastern","49071","1146","521","1094.0","2.23","2.19"
"Apr 2020 to Mar 2021 (Period 09)","Southeastern","41190","647","320","643.5","1.56","2.02"
"Apr 2020 to Mar 2021 (Period 10)","Southeastern","37145","776","524","912.0","2.46","1.96"
"Apr 2020 to Mar 2021 (Period 11)","Southeastern","43472","689","846","1190.5","2.74","2.00"
"Apr 2020 to Mar 2021 (Period 12)","Southeastern","38415","815","632","1039.5","2.71","1.86"
"Apr 2020 to Mar 2021 (Period 13)","Southeastern","33529","381","245","435.5","1.30","1.78"
"Apr 2021 to Mar 2022 (Period 01)","Southeastern","40483","474","283","520.0","1.28","1.79"
"Apr 2021 to Mar 2022 (Period 02)","Southeastern","38446","458","267","496.0","1.29","1.81"
"Apr 2021 to Mar 2022 (Period 03)","Southeastern","39655","780","319","709.0","1.79","1.85"
"Apr 2021 to Mar 2022 (Period 04)","Southeastern","38866","694","284","631.0","1.62","1.88"
"Apr 2021 to Mar 2022 (Period 05)","Southeastern","40267","553","524","800.5","1.99","1.89"
"Apr 2021 to Mar 2022 (Period 06)","Southeastern","40238","656","484","812.0","2.02","1.90"
"Apr 2021 to Mar 2022 (Period 07)","Southeastern","42510","810","491","896.0","2.11","1.95"
"Apr 2021 to Mar 2022 (Period 08)","Southeastern","42520","1053","672","1198.5","2.82","1.99"
"Apr 2021 to Mar 2022 (Period 09)","Southeastern","42148","850","603","1028.0","2.44","2.06"
"Apr 2021 to Mar 2022 (Period 10)","Southeastern","35280","763","386","767.5","2.18","2.04"
"Apr 2021 to Mar 2022 (Period 11)","Southeastern","41135","594","423","720.0","1.75","1.96"
