"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2019 to Mar 2020 (Period 02)","Caledonian Sleeper","163","1","1","1.5","0.92","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Caledonian Sleeper","164","4","6","8.0","4.88","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Caledonian Sleeper","168","3","1","2.5","1.49","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Caledonian Sleeper","169","3","3","4.5","2.66","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Caledonian Sleeper","166","6","3","6.0","3.61","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Caledonian Sleeper","143","0","1","1.0","0.70","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Caledonian Sleeper","168","7","1","4.5","2.68","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Caledonian Sleeper","167","5","8","10.5","6.29","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Caledonian Sleeper","129","1","0","0.5","0.39","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Caledonian Sleeper","168","4","4","6.0","3.57","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Caledonian Sleeper","171","6","11","14.0","8.19","[z]"
