line,from_id,to_id
district,940GZZLUPSG,940GZZLUPYB
district,940GZZLUPYB,940GZZLUEPY
district,940GZZLUEPY,940GZZLUSFS
district,940GZZLUSFS,940GZZLUWIP
district,940GZZLUWIP,940GZZLUWIM
district,940GZZLUECT,940GZZLUWKN
district,940GZZLUWKN,940GZZLUBSC
district,940GZZLUBSC,940GZZLUHSD
district,940GZZLUHSD,940GZZLURVP
district,940GZZLURVP,940GZZLUSFB
district,940GZZLUSFB,940GZZLUTNG
district,940GZZLUTNG,940GZZLUCWP
district,940GZZLUCWP,940GZZLUACT
district,940GZZLUACT,940GZZLUECM
district,940GZZLUECM,940GZZLUEBY
district,940GZZLUTNG,940GZZLUGBY
district,940GZZLUGBY,940GZZLUKWG
district,940GZZLUKWG,940GZZLURMD
district,940GZZLUKOY,940GZZLUECT
district,940GZZLURMD,940GZZLUKWG
district,940GZZLUKWG,940GZZLUGBY
district,940GZZLUGBY,940GZZLUTNG
district,940GZZLUUPM,940GZZLUUPB
district,940GZZLUUPB,940GZZLUHCH
district,940GZZLUHCH,940GZZLUEPK
district,940GZZLUEPK,940GZZLUDGE
district,940GZZLUDGE,940GZZLUDGY
district,940GZZLUDGY,940GZZLUBEC
district,940GZZLUBEC,940GZZLUUPY
district,940GZZLUUPY,940GZZLUBKG
district,940GZZLUBKG,940GZZLUEHM
district,940GZZLUEHM,940GZZLUUPK
district,940GZZLUUPK,940GZZLUPLW
district,940GZZLUPLW,940GZZLUWHM
district,940GZZLUWHM,940GZZLUBBB
district,940GZZLUBBB,940GZZLUBWR
district,940GZZLUBWR,940GZZLUMED
district,940GZZLUMED,940GZZLUSGN
district,940GZZLUSGN,940GZZLUWPL
district,940GZZLUWPL,940GZZLUADE
district,940GZZLUADE,940GZZLUTWH
district,940GZZLUTWH,940GZZLUMMT
district,940GZZLUMMT,940GZZLUCST
district,940GZZLUCST,940GZZLUMSH
district,940GZZLUMSH,940GZZLUBKF
district,940GZZLUBKF,940GZZLUTMP
district,940GZZLUTMP,940GZZLUEMB
district,940GZZLUEMB,940GZZLUWSM
district,940GZZLUWSM,940GZZLUSJP
district,940GZZLUSJP,940GZZLUVIC
district,940GZZLUVIC,940GZZLUSSQ
district,940GZZLUSSQ,940GZZLUSKS
