line,from_id,to_id,from_name,to_name,from_name_clean,to_name_clean
central,940GZZLURBG,940GZZLUWSD,redbridge,wanstead,redbridge,wanstead
central,940GZZLUWSD,940GZZLULYS,wanstead,leytonstone,wanstead,leytonstone
central,940GZZLUHLT,940GZZLUGGH,hainault,grange hill,hainault,grange hill
central,940GZZLUGGH,940GZZLUCWL,grange hill,chigwell,grange hill,chigwell
central,940GZZLUCWL,940GZZLURVY,chigwell,roding valley,chigwell,roding valley
central,940GZZLURVY,940GZZLUWOF,roding valley,woodford,roding valley,woodford
central,940GZZLUWRP,940GZZLURSG,west ruislip,ruislip gardens,west ruislip,ruislip gardens
central,940GZZLURSG,940GZZLUSRP,ruislip gardens,south ruislip,ruislip gardens,south ruislip
central,940GZZLUSRP,940GZZLUNHT,south ruislip,northolt,south ruislip,northolt
central,940GZZLUNHT,940GZZLUGFD,northolt,greenford,northolt,greenford
central,940GZZLUGFD,940GZZLUPVL,greenford,perivale,greenford,perivale
central,940GZZLUPVL,940GZZLUHGR,perivale,hanger lane,perivale,hanger lane
central,940GZZLUHGR,940GZZLUNAN,hanger lane,north acton,hanger lane,north acton
central,940GZZLUWOF,940GZZLURVY,woodford,roding valley,woodford,roding valley
central,940GZZLURVY,940GZZLUCWL,roding valley,chigwell,roding valley,chigwell
central,940GZZLUCWL,940GZZLUGGH,chigwell,grange hill,chigwell,grange hill
central,940GZZLUGGH,940GZZLUHLT,grange hill,hainault,grange hill,hainault
circle,940GZZLUERC,940GZZLUPAC,edgware road (circle line),paddington,edgware road (circle line),paddington
circle,940GZZLUPAC,940GZZLUBWT,paddington,bayswater,paddington,bayswater
circle,940GZZLUBWT,940GZZLUNHG,bayswater,notting hill gate,bayswater,notting hill gate
circle,940GZZLUNHG,940GZZLUHSK,notting hill gate,high street kensington,notting hill gate,high street kensington
circle,940GZZLUHSK,940GZZLUGTR,high street kensington,gloucester road,high street kensington,gloucester road
circle,940GZZLUGTR,940GZZLUSKS,gloucester road,south kensington,gloucester road,south kensington
circle,940GZZLUSKS,940GZZLUSSQ,south kensington,sloane square,south kensington,sloane square
circle,940GZZLUSSQ,940GZZLUVIC,sloane square,victoria,sloane square,victoria
circle,940GZZLUVIC,940GZZLUSJP,victoria,st. jamess park,victoria,st. jamess park
circle,940GZZLUSJP,940GZZLUWSM,st. jamess park,westminster,st. jamess park,westminster
circle,940GZZLUWSM,940GZZLUEMB,westminster,embankment,westminster,embankment
circle,940GZZLUEMB,940GZZLUTMP,embankment,temple,embankment,temple
circle,940GZZLUTMP,940GZZLUBKF,temple,blackfriars,temple,blackfriars
circle,940GZZLUBKF,940GZZLUMSH,blackfriars,mansion house,blackfriars,mansion house
circle,940GZZLUMSH,940GZZLUCST,mansion house,cannon street,mansion house,cannon street
circle,940GZZLUCST,940GZZLUMMT,cannon street,monument,cannon street,monument
circle,940GZZLUMMT,940GZZLUTWH,monument,tower hill,monument,tower hill
circle,940GZZLUTWH,940GZZLUALD,tower hill,aldgate,tower hill,aldgate
circle,940GZZLUALD,940GZZLULVT,aldgate,liverpool street,aldgate,liverpool street
circle,940GZZLULVT,940GZZLUMGT,liverpool street,moorgate,liverpool street,moorgate
circle,940GZZLUMGT,940GZZLUBBN,moorgate,barbican,moorgate,barbican
circle,940GZZLUBBN,940GZZLUFCN,barbican,farringdon,barbican,farringdon
circle,940GZZLUFCN,940GZZLUKSX,farringdon,kings cross st. pancras,farringdon,kings cross st. pancras
circle,940GZZLUKSX,940GZZLUESQ,kings cross st. pancras,euston square,kings cross st. pancras,euston square
circle,940GZZLUESQ,940GZZLUGPS,euston square,great portland street,euston square,great portland street
circle,940GZZLUGPS,940GZZLUBST,great portland street,baker street,great portland street,baker street
circle,940GZZLUBST,940GZZLUERC,baker street,edgware road (circle line),baker street,edgware road (circle line)
circle,940GZZLUERC,940GZZLUPAH,edgware road (circle line),paddington (handc line)-underground,edgware road (circle line),paddington (handc line)-underground
circle,940GZZLUPAH,940GZZLURYO,paddington (handc line)-underground,royal oak,paddington (handc line)-underground,royal oak
circle,940GZZLURYO,940GZZLUWSP,royal oak,westbourne park,royal oak,westbourne park
circle,940GZZLUWSP,940GZZLULAD,westbourne park,ladbroke grove,westbourne park,ladbroke grove
circle,940GZZLULAD,940GZZLULRD,ladbroke grove,latimer road,ladbroke grove,latimer road
circle,940GZZLULRD,940GZZLUWLA,latimer road,wood lane,latimer road,wood lane
circle,940GZZLUWLA,940GZZLUSBM,wood lane,shepherds bush market,wood lane,shepherds bush market
circle,940GZZLUSBM,940GZZLUGHK,shepherds bush market,goldhawk road,shepherds bush market,goldhawk road
circle,940GZZLUGHK,940GZZLUHSC,goldhawk road,hammersmith (handc line),goldhawk road,hammersmith (handc line)
circle,940GZZLUHSC,940GZZLUGHK,hammersmith (handc line),goldhawk road,hammersmith (handc line),goldhawk road
circle,940GZZLUGHK,940GZZLUSBM,goldhawk road,shepherds bush market,goldhawk road,shepherds bush market
circle,940GZZLUSBM,940GZZLUWLA,shepherds bush market,wood lane,shepherds bush market,wood lane
circle,940GZZLUWLA,940GZZLULRD,wood lane,latimer road,wood lane,latimer road
circle,940GZZLULRD,940GZZLULAD,latimer road,ladbroke grove,latimer road,ladbroke grove
circle,940GZZLULAD,940GZZLUWSP,ladbroke grove,westbourne park,ladbroke grove,westbourne park
circle,940GZZLUWSP,940GZZLURYO,westbourne park,royal oak,westbourne park,royal oak
circle,940GZZLURYO,940GZZLUPAH,royal oak,paddington (handc line)-underground,royal oak,paddington (handc line)-underground
circle,940GZZLUPAH,940GZZLUERC,paddington (handc line)-underground,edgware road (circle line),paddington (handc line)-underground,edgware road (circle line)
circle,940GZZLUERC,940GZZLUBST,edgware road (circle line),baker street,edgware road (circle line),baker street
circle,940GZZLUBST,940GZZLUGPS,baker street,great portland street,baker street,great portland street
circle,940GZZLUGPS,940GZZLUESQ,great portland street,euston square,great portland street,euston square
circle,940GZZLUESQ,940GZZLUKSX,euston square,kings cross st. pancras,euston square,kings cross st. pancras
circle,940GZZLUKSX,940GZZLUFCN,kings cross st. pancras,farringdon,kings cross st. pancras,farringdon
circle,940GZZLUFCN,940GZZLUBBN,farringdon,barbican,farringdon,barbican
