station_id,station_name,lat,lon,zone
9400ZZLUTMP,Temple Underground Station,51.511006,-0.11426,
9400ZZLUTMP1,Temple Underground Station,51.510861,-0.114756,
9400ZZLUTMP2,Temple Underground Station,51.510877,-0.114669,
9400ZZLUTNG,Turnham Green Underground Station,51.495148,-0.254555,
9400ZZLUTNG1,Turnham Green Underground Station,51.495275,-0.254622,
9400ZZLUTNG2,Turnham Green Underground Station,51.495265,-0.25455,
9400ZZLUTNG3,Turnham Green Underground Station,51.495263,-0.254464,
9400ZZLUTNG4,Turnham Green Underground Station,51.495262,-0.254377,
9400ZZLUTPN,Turnpike Lane Underground Station,51.590272,-0.102953,
9400ZZLUTPN1,Turnpike Lane Underground Station,51.590046,-0.10289,
9400ZZLUTPN2,Turnpike Lane Station,51.590139,-0.102497,
9400ZZLUTWH,Tower Hill Underground Station,51.509971,-0.076546,
9400ZZLUTWH1,Tower Hill Underground Station,51.509663,-0.076991,
9400ZZLUTWH2,Tower Hill Underground Station,51.50962,-0.077108,
9400ZZLUTWH3,Tower Hill Underground Station,51.509707,-0.076917,
9400ZZLUUPB,Upminster Bridge Underground Station,51.55856,0.235809,
9400ZZLUUPB1,Upminster Bridge Underground Station,51.558254,0.234857,
9400ZZLUUPB2,Upminster Bridge,51.558263,0.234872,
9400ZZLUUPK,Upton Park Underground Station,51.53534,0.035263,
9400ZZLUUPK1,Upton Park Underground Station,51.53516,0.034274,
9400ZZLUUPK2,Upton Park Underground Station,51.53516,0.034289,
9400ZZLUUPM,Upminster Underground Station,51.559063,0.250882,
9400ZZLUUPM1,Upminster Underground Station,51.559335,0.25127,
9400ZZLUUPM2,Upminster Underground Station,51.559333,0.251357,
9400ZZLUUPY,Upney Underground Station,51.538372,0.10153,
9400ZZLUUPY1,Upney Underground Station,51.538371,0.100045,
9400ZZLUUPY2,Upney Station,51.538262,0.100112,
9400ZZLUUXB,Uxbridge Underground Station,51.546565,-0.477949,
9400ZZLUUXB1,Uxbridge Underground Station,51.546807,-0.477191,
9400ZZLUUXB2,Uxbridge Underground Station,51.546833,-0.477132,
9400ZZLUVIC,Victoria Underground Station,51.496359,-0.143102,
9400ZZLUVIC1,Victoria Underground Station,51.49645,-0.144899,
9400ZZLUVIC2,Victoria Underground Station,51.49712,-0.14346,
9400ZZLUVIC3,Victoria Underground Station,51.497031,-0.143536,
9400ZZLUVIC4,Victoria Underground Station,51.496969,-0.143596,
9400ZZLUVXL,Vauxhall Underground Station,51.485743,-0.124204,
9400ZZLUVXL1,Vauxhall Underground Station,51.486216,-0.12453,
9400ZZLUVXL2,Vauxhall,51.486066,-0.124724,
9400ZZLUWAF,Watford Underground Station,51.657446,-0.417377,
9400ZZLUWAF1,Watford Underground Station,51.657327,-0.41861,
9400ZZLUWBN,West Brompton Underground Station,51.487268,-0.195599,
9400ZZLUWBN1,West Brompton Underground Station,51.486962,-0.195006,
9400ZZLUWBN2,West Brompton Underground Station,51.486916,-0.194921,
9400ZZLUWCY,White City Underground Station,51.511959,-0.224297,
9400ZZLUWCY1,White City Underground Station,51.511991,-0.224022,
9400ZZLUWCY2,White City Underground Station,51.511967,-0.224239,
9400ZZLUWFN,West Finchley Underground Station,51.609426,-0.188362,
9400ZZLUWFN1,West Finchley Underground Station,51.60941,-0.188449,
9400ZZLUWFN2,West Finchley Underground Station,51.609356,-0.188466,
9400ZZLUWHM,West Ham Underground Station,51.528136,0.005055,
9400ZZLUWHM1,West Ham Underground Station,51.528558,0.005593,
9400ZZLUWHM2,West Ham Underground Station,51.528648,0.005597,
9400ZZLUWHM3,West Ham Underground Station,51.527511,0.004264,
9400ZZLUWHM4,West Ham Underground Station,51.527514,0.00412,
