station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display,station,degree_centrality,betweenness_centrality,closeness_centrality,betweenness_norm,degree_norm,closeness_norm,propagation_risk_score
balham,2,266,13.81078167115903,0.5,5,0.2272727272727272,0.1309038472386933,0.3074529723534261,Balham,balham,0.007380073800738,0.036353696870302,0.0680220883534136,0.10258367872736,0.16666666666666669,0.3504692335484395,0.17686106440304117
bayswater,1,271,14.18135848025147,0.0,0,0.0,0.2268390675716199,0.068051720271486,Bayswater,bayswater,0.007380073800738,0.0865176985103184,0.0979400072280448,0.24413758578329053,0.16666666666666669,0.7378531570207488,0.1758176423064244
perivale,2,266,13.759710597247835,0.5,5,0.2272727272727272,0.1176825268319778,0.3034865762314115,Perivale,perivale,0.007380073800738,0.036353696870302,0.0632586367880485,0.10258367872736,0.16666666666666669,0.2887909943502528,0.1756711455664368
stonebridge park,2,266,13.69927649311959,0.5,5,0.2272727272727272,0.1020372976840305,0.2987930074870273,Stonebridge Park,stonebridge park,0.007380073800738,0.036353696870302,0.0584177624488036,0.10258367872736,0.16666666666666669,0.2261102677117684,0.17426307494312154
hounslow central,2,266,13.631976166832176,0.5,5,0.2272727272727272,0.0846145354591808,0.2935661788195724,Hounslow Central,hounslow central,0.007380073800738,0.036353696870302,0.052909019914096,0.10258367872736,0.16666666666666669,0.15478183389134853,0.17269502634288506
dagenham heathway,2,266,13.588962973471414,0.5,5,0.2272727272727272,0.0734792456055246,0.2902255918634756,Dagenham Heathway,dagenham heathway,0.007380073800738,0.036353696870302,0.0512578021562322,0.10258367872736,0.16666666666666669,0.13340149603332915,0.17169285025605602
london bridge,1,271,14.111849118491184,0.0,0,0.0,0.2088444284791054,0.0626533285437316,London Bridge,london bridge,0.014760147601476,0.0348526263040408,0.0958274398868458,0.09834792407314134,0.5,0.7104991612878748,0.16796996059969016
west harrow,1,271,14.509935766024329,0.0,0,0.0,0.3119014177608106,0.0935704253282432,West Harrow,west harrow,0.007380073800738,0.0752546689488058,0.078052995391705,0.21235531587668202,0.16666666666666669,0.48035166757610465,0.16758211887014732
great portland street,1,271,14.103102364356976,0.0,0,0.0,0.2065800617824462,0.0619740185347338,Great Portland Street,great portland street,0.007380073800738,0.0804254931438202,0.1087043722422783,0.2269464637830273,0.16666666666666669,0.8772325694182376,0.1653987707852671
latimer road,2,267,13.88527498521585,0.5,4,0.1818181818181818,0.1501887358826241,0.2996020753102418,Latimer Road,latimer road,0.007380073800738,0.0291922919229192,0.0717690677966101,0.08237546532392517,0.16666666666666669,0.39898596373806383,0.16440168858836846
snaresbrook,1,271,14.44553778871122,0.0,0,0.0,0.2952300179566567,0.088569005386997,Snaresbrook,snaresbrook,0.007380073800738,0.0737187371873718,0.0679197994987468,0.20802118911856385,0.16666666666666669,0.34914477451723613,0.16391462950871435
putney bridge,2,267,13.860353130016051,0.5,4,0.1818181818181818,0.1437369461023804,0.2976665383761687,Putney Bridge,putney bridge,0.007380073800738,0.0291922919229192,0.0685555274475082,0.08237546532392517,0.16666666666666669,0.35737632257658397,0.16382102750814653
bounds green,2,267,13.843316155557432,0.5,4,0.1818181818181818,0.1393264005463949,0.296343374709373,Bounds Green,bounds green,0.007380073800738,0.0291922919229192,0.0665193912616593,0.08237546532392517,0.16666666666666669,0.33101197458488857,0.16342407840810783
embankment,1,271,14.107694410277436,0.0,0,0.0,0.2077688542981923,0.0623306562894577,Embankment,embankment,0.014760147601476,0.0315794269053801,0.1051610399689561,0.08911153645840335,0.5,0.8313527084574027,0.16325496511603899
brent cross,2,267,13.83514967193264,0.5,4,0.1818181818181818,0.1372122547426992,0.2957091309682643,Brent Cross,brent cross,0.007380073800738,0.0291922919229192,0.0655856727976766,0.08237546532392517,0.16666666666666669,0.318921978502211,0.1632338052857752
euston square,1,271,14.095093617602842,0.0,0,0.0,0.2045067510258175,0.0613520253077452,Euston Square,euston square,0.007380073800738,0.0789677007881189,0.1063579277864992,0.22283283255586508,0.16666666666666669,0.8468502803526596,0.16315535720358945
ruislip manor,2,267,13.83120723156205,0.5,4,0.1818181818181818,0.1361916326305701,0.2954029443346256,Ruislip Manor,ruislip manor,0.007380073800738,0.0291922919229192,0.0651442307692307,0.08237546532392517,0.16666666666666669,0.313206088112858,0.1631419492956836
tooting bec,2,267,13.81909830756667,0.5,4,0.1818181818181818,0.1330568647147458,0.2944625139598783,Tooting Bec,tooting bec,0.007380073800738,0.0291922919229192,0.0638247762600094,0.08237546532392517,0.16666666666666669,0.2961214952049337,0.16285982018325942
