station_removed,station_display,propagation_risk_score,failure_impact_score,betweenness_centrality,degree_centrality
high street kensington,High Street Kensington,0.1867009769888815,0.0645320452873661,0.0713543802104687,0.011070110701107
highbury and islington,Highbury And Islington,0.18651153455038216,0.0672216883542417,0.0942736094027607,0.007380073800738
hounslow east,Hounslow East,0.18599328984630414,0.3044704701102756,0.043460434604346,0.007380073800738
becontree,Becontree,0.1848749514387047,0.3007426754182775,0.043460434604346,0.007380073800738
hatton cross,Hatton Cross,0.17965756978090552,0.2732813591316766,0.0219762197621976,0.011070110701107
ladbroke grove,Ladbroke Grove,0.17872527058038812,0.3136669929445826,0.036353696870302,0.007380073800738
parsons green,Parsons Green,0.1780232184667915,0.3113268192325939,0.036353696870302,0.007380073800738
wood green,Wood Green,0.17754328453602775,0.3097270394633813,0.036353696870302,0.007380073800738
golders green,Golders Green,0.17731323356095086,0.3089602028797918,0.036353696870302,0.007380073800738
eastcote,Eastcote,0.17720217446953446,0.3085900059084037,0.036353696870302,0.007380073800738
balham,Balham,0.17686106440304117,0.3074529723534261,0.036353696870302,0.007380073800738
bayswater,Bayswater,0.1758176423064244,0.068051720271486,0.0865176985103184,0.007380073800738
perivale,Perivale,0.1756711455664368,0.3034865762314115,0.036353696870302,0.007380073800738
stonebridge park,Stonebridge Park,0.17426307494312154,0.2987930074870273,0.036353696870302,0.007380073800738
hounslow central,Hounslow Central,0.17269502634288506,0.2935661788195724,0.036353696870302,0.007380073800738
dagenham heathway,Dagenham Heathway,0.17169285025605602,0.2902255918634756,0.036353696870302,0.007380073800738
london bridge,London Bridge,0.16796996059969016,0.0626533285437316,0.0348526263040408,0.014760147601476
west harrow,West Harrow,0.16758211887014732,0.0935704253282432,0.0752546689488058,0.007380073800738
great portland street,Great Portland Street,0.1653987707852671,0.0619740185347338,0.0804254931438202,0.007380073800738
latimer road,Latimer Road,0.16440168858836846,0.2996020753102418,0.0291922919229192,0.007380073800738
snaresbrook,Snaresbrook,0.16391462950871435,0.088569005386997,0.0737187371873718,0.007380073800738
putney bridge,Putney Bridge,0.16382102750814653,0.2976665383761687,0.0291922919229192,0.007380073800738
bounds green,Bounds Green,0.16342407840810783,0.296343374709373,0.0291922919229192,0.007380073800738
embankment,Embankment,0.16325496511603899,0.0623306562894577,0.0315794269053801,0.014760147601476
brent cross,Brent Cross,0.1632338052857752,0.2957091309682643,0.0291922919229192,0.007380073800738
euston square,Euston Square,0.16315535720358945,0.0613520253077452,0.0789677007881189,0.007380073800738
ruislip manor,Ruislip Manor,0.1631419492956836,0.2954029443346256,0.0291922919229192,0.007380073800738
tooting bec,Tooting Bec,0.16285982018325942,0.2944625139598783,0.0291922919229192,0.007380073800738
ealing common,Ealing Common,0.16259221554686967,0.0714588845353654,0.05279416709511,0.011070110701107
greenford,Greenford,0.16187564886084943,0.2911819428851783,0.0291922919229192,0.007380073800738
buckhurst hill,Buckhurst Hill,0.16121297350376002,0.2889730250282136,0.0291922919229192,0.007380073800738
rickmansworth,Rickmansworth,0.16116638939449926,0.2888177446640111,0.0291922919229192,0.007380073800738
wembley central,Wembley Central,0.16071104612933085,0.2872999337801165,0.0291922919229192,0.007380073800738
hounslow west,Hounslow West,0.15947295860573907,0.2831729753681438,0.0291922919229192,0.007380073800738
dagenham east,Dagenham East,0.1585852360729252,0.2802139002587643,0.0291922919229192,0.007380073800738
holland park,Holland Park,0.1566756455448221,0.0764157247572711,0.0711721561660061,0.007380073800738
heathrow terminals 2 and 3,Heathrow Terminals 2 And 3,0.15356905625379888,0.2549658684779254,0.007380073800738,0.011070110701107
kingsbury,Kingsbury,0.1528194831857435,0.2949321815922476,0.0219762197621976,0.007380073800738
south woodford,South Woodford,0.15261310155755017,0.0827778875602909,0.0669400027333606,0.007380073800738
seven sisters,Seven Sisters,0.15209011920471763,0.2925009683221614,0.0219762197621976,0.007380073800738
wood lane,Wood Lane,0.15016772414044235,0.2860929847745771,0.0219762197621976,0.007380073800738
east putney,East Putney,0.1497066619095796,0.2845561106717013,0.0219762197621976,0.007380073800738
arnos grove,Arnos Grove,0.149391472474922,0.2835054792228426,0.0219762197621976,0.007380073800738
hendon central,Hendon Central,0.1492403899359952,0.2830018707597533,0.0219762197621976,0.007380073800738
ruislip,Ruislip,0.1491674535378926,0.2827587494327446,0.0219762197621976,0.007380073800738
tooting broadway,Tooting Broadway,0.14894343460086323,0.2820120196426467,0.0219762197621976,0.007380073800738
west finchley,West Finchley,0.1486152208094016,0.280917973671108,0.0219762197621976,0.007380073800738
northolt,Northolt,0.14816197319262125,0.2794071482818401,0.0219762197621976,0.007380073800738
loughton,Loughton,0.14763578917773829,0.2776532015655636,0.0219762197621976,0.007380073800738
chorleywood,Chorleywood,0.1476338355242177,0.2776466893871616,0.0219762197621976,0.007380073800738
north wembley,North Wembley,0.14723724385953493,0.2763247171715524,0.0219762197621976,0.007380073800738
shepherds bush (central),Shepherds Bush (Central),0.14692709332928347,0.0717518369767456,0.065254430322081,0.007380073800738
elm park,Elm Park,0.1455492872177322,0.27069819503221,0.0219762197621976,0.007380073800738
holborn,Holborn,0.14427204523343407,0.0552997976963307,0.019620019480618,0.014760147601476
tottenham court road,Tottenham Court Road,0.14277024526122237,0.0546183648435547,0.018700493089587,0.014760147601476
white city,White City,0.1384314506504422,0.068179090898173,0.0599927110382215,0.007380073800738
queensbury,Queensbury,0.1379943475472233,0.279709622372967,0.0147054803881372,0.007380073800738
tottenham hale,Tottenham Hale,0.13745139164685,0.2778997693717226,0.0147054803881372,0.007380073800738
gunnersbury,Gunnersbury,0.13720512236346638,0.2770788717604438,0.0147054803881372,0.007380073800738
shepherds bush market,Shepherds Bush Market,0.13602031502372314,0.2731295139612997,0.0147054803881372,0.007380073800738
southfields,Southfields,0.13567708932955858,0.2719854283140845,0.0147054803881372,0.007380073800738
southgate,Southgate,0.13544245481546863,0.2712033132671181,0.0147054803881372,0.007380073800738
colindale,Colindale,0.13532998537896274,0.2708284151454317,0.0147054803881372,0.007380073800738
ickenham,Ickenham,0.1352756897889254,0.2706474298453073,0.0147054803881372,0.007380073800738
colliers wood,Colliers Wood,0.13510892476238218,0.2700915464234965,0.0147054803881372,0.007380073800738
woodside park,Woodside Park,0.1348645946072142,0.2692771125729366,0.0147054803881372,0.007380073800738
south ruislip,South Ruislip,0.13452718629769644,0.2681524182078775,0.0147054803881372,0.007380073800738
debden,Debden,0.13413548239814138,0.2668467385426939,0.0147054803881372,0.007380073800738
south kenton,South Kenton,0.1338387957811517,0.2658577831527283,0.0147054803881372,0.007380073800738
piccadilly circus,Piccadilly Circus,0.13333488374867794,0.0543084296519495,0.012078970260602,0.014760147601476
pimlico,Pimlico,0.1329754220674061,0.060897736739228,0.057673910072434,0.007380073800738
hornchurch,Hornchurch,0.13258224069743055,0.2616692662069911,0.0147054803881372,0.007380073800738
willesden green,Willesden Green,0.1316746097741313,0.0537331389880796,0.0110245546899913,0.014760147601476
east acton,East Acton,0.1308994778126384,0.0656974865215529,0.0551819962644071,0.007380073800738
hyde park corner,Hyde Park Corner,0.1308899562087349,0.0546119963122204,0.0575323393445574,0.007380073800738
vauxhall,Vauxhall,0.12579766994561412,0.0593183409683082,0.05292241811307,0.007380073800738
knightsbridge,Knightsbridge,0.1251577877128503,0.0537161562378546,0.0536600783997258,0.007380073800738
leicester square,Leicester Square,0.12414372453162753,0.0536567166120673,0.0057032004182475,0.014760147601476
nine elms,Nine Elms,0.12398388060633378,0.2674597274308195,0.007380073800738,0.007380073800738
marble arch,Marble Arch,0.12337318083586793,0.0593247094996425,0.0512026786934536,0.007380073800738
canons park,Canons Park,0.12326273558084322,0.2650559106791843,0.007380073800738,0.007380073800738
blackhorse road,Blackhorse Road,0.12290344624429989,0.2638582795573732,0.007380073800738,0.007380073800738
kew gardens,Kew Gardens,0.12274048286665344,0.2633150682985517,0.007380073800738,0.007380073800738
goldhawk road,Goldhawk Road,0.12195646220726775,0.2607016661005994,0.007380073800738,0.007380073800738
wimbledon park,Wimbledon Park,0.1217293400195243,0.2599445921414546,0.007380073800738,0.007380073800738
croxley,Croxley,0.12163951768538847,0.2596451843610018,0.007380073800738,0.007380073800738
oakwood,Oakwood,0.1215740756990895,0.2594270444066719,0.007380073800738,0.007380073800738
burnt oak,Burnt Oak,0.12149965147937694,0.2591789636742967,0.007380073800738,0.007380073800738
hillingdon,Hillingdon,0.12146372254572263,0.2590592005621157,0.007380073800738,0.007380073800738
south wimbledon,South Wimbledon,0.12135336939235575,0.2586913567175594,0.007380073800738,0.007380073800738
totteridge and whetstone,Totteridge And Whetstone,0.12119168919091125,0.2581524227127444,0.007380073800738,0.007380073800738
ruislip gardens,Ruislip Gardens,0.12096841653177356,0.2574081805156188,0.007380073800738,0.007380073800738
theydon bois,Theydon Bois,0.12070921493898158,0.2565441752063122,0.007380073800738,0.007380073800738
kenton,Kenton,0.1205128889800847,0.2558897553433226,0.007380073800738,0.007380073800738
upminster bridge,Upminster Bridge,0.11968139080122722,0.253118094747131,0.007380073800738,0.007380073800738
lancaster gate,Lancaster Gate,0.1172935609386069,0.0576349258522605,0.0472529725297253,0.007380073800738
queensway,Queensway,0.11264803663304035,0.0570617580321687,0.0440822741560749,0.007380073800738
south harrow,South Harrow,0.10904563568299423,0.0656507839584343,0.0397027578741395,0.007380073800738
aldgate east,Aldgate East,0.10895167332800218,0.0538053156765355,0.0185294519611862,0.011070110701107
farringdon,Farringdon,0.1082914070265178,0.0539539147410038,0.0416552776638877,0.007380073800738
angel,Angel,0.1082914070265178,0.0539539147410038,0.0416552776638877,0.007380073800738
wanstead,Wanstead,0.10824797928549867,0.0669159988501928,0.0388683886838868,0.007380073800738
barbican,Barbican,0.10605098831922743,0.0536418567056205,0.0401337068926244,0.007380073800738
old street,Old Street,0.10605098831922743,0.0536418567056205,0.0401337068926244,0.007380073800738
north ealing,North Ealing,0.10387463187485037,0.064960859730546,0.036184445442338,0.007380073800738
sudbury hill,Sudbury Hill,0.10217887229757361,0.063415429460076,0.0353111584025893,0.007380073800738
tower hill,Tower Hill,0.09699550116905166,0.0536779450498485,0.0100824563801192,0.011070110701107
park royal,Park Royal,0.0969074742561917,0.063001474923343,0.0316630113391081,0.007380073800738
redbridge,Redbridge,0.09650985015611316,0.0609550535212372,0.0318163181631816,0.007380073800738
sudbury town,Sudbury Town,0.09610878051950303,0.062228759788108,0.0312612290144065,0.007380073800738
alperton,Alperton,0.09366892993024277,0.0620907749425304,0.0295612956129561,0.007380073800738
charing cross,Charing Cross,0.09234647551588249,0.0537862100825325,0.0067643843105097,0.011070110701107
oval,Oval,0.09089926694539549,0.0581720053281244,0.0284315065372875,0.007380073800738
st. jamess park,St. Jamess Park,0.08918670717506015,0.0536418567056205,0.0281809484761514,0.007380073800738
elephant and castle,Elephant And Castle,0.08754550271146559,0.0528309303823793,0.0035647578698009,0.011070110701107
gants hill,Gants Hill,0.08510033724358035,0.0560894955817906,0.0247642476424764,0.007380073800738
regents park,Regents Park,0.08235823814969366,0.0538159298954261,0.0233041774862193,0.007380073800738
bermondsey,Bermondsey,0.0822892589825526,0.0580510032327717,0.0223547902145688,0.007380073800738
