station_id,station_name,lat,lon,zone,station_name_clean
4900ZZLUMVL1,maida vale,51.52981,-0.18587,,maida vale
4900ZZLUNAN1,north acton,51.52346,-0.25976,,north acton
4900ZZLUNBP1,newbury park,51.57556,0.09065,,newbury park
4900ZZLUNDN1,neasden,51.55402,-0.24976,,neasden
4900ZZLUNEN1,north ealing,51.51755,-0.28915,,north ealing
4900ZZLUNFD1,northfields,51.49927,-0.31455,,northfields
4900ZZLUNGW1,north greenwich,51.50026,0.00462,,north greenwich
4900ZZLUNHA1,north harrow,51.58492,-0.36202,,north harrow
4900ZZLUNHG1,notting hill gate,51.50912,-0.19664,,notting hill gate
4900ZZLUNHT1,northolt,51.54819,-0.36807,,northolt
4900ZZLUNKP1,northwick park,51.57871,-0.31818,,northwick park
4900ZZLUNOW1,northwood,51.61116,-0.4237,,northwood
4900ZZLUNWH1,northwood hills,51.60078,-0.40947,,northwood hills
4900ZZLUOAK1,oakwood,51.64763,-0.13208,,oakwood
4900ZZLUOSY1,osterley,51.48089,-0.35162,,osterley
4900ZZLUOVL1,oval,51.48193,-0.11249,,oval
4900ZZLUOXC1,oxford circus,51.51537,-0.14217,,oxford circus
4900ZZLUPAC1,paddington,51.51549,-0.1757,,paddington
4900ZZLUPAH1,paddington (handc line),51.51687,-0.17722,,paddington (handc line)
4900ZZLUPCC1,piccadilly circus,51.51023,-0.1352,,piccadilly circus
4900ZZLUPCO1,pimlico,51.48896,-0.13372,,pimlico
4900ZZLUPKR1,park royal,51.52707,-0.28417,,park royal
4900ZZLUPLW1,plaistow,51.53128,0.01804,,plaistow
4900ZZLUPNR1,pinner,51.59301,-0.3811,,pinner
4900ZZLUPRD1,preston road,51.57178,-0.29487,,preston road
4900ZZLUPSG1,parsons green,51.47546,-0.20121,,parsons green
4900ZZLUPVL1,perivale,51.53677,-0.32401,,perivale
4900ZZLUPYB1,putney bridge,51.46794,-0.20916,,putney bridge
4900ZZLUQBY1,queensbury,51.5941,-0.28552,,queensbury
4900ZZLUQWY1,queensway,51.51062,-0.18717,,queensway
4900ZZLURBG1,redbridge,51.57628,0.04556,,redbridge
4900ZZLURGP1,regents park,51.52359,-0.14671,,regents park
4900ZZLURSG1,ruislip gardens,51.5606,-0.4111,,ruislip gardens
4900ZZLURSM1,ruislip manor,51.57315,-0.41292,,ruislip manor
4900ZZLURSP1,ruislip,51.57158,-0.42133,,ruislip
4900ZZLURSQ1,russell square,51.52318,-0.12435,,russell square
4900ZZLURVP1,ravenscourt park,51.49406,-0.23656,,ravenscourt park
4900ZZLURVY1,roding valley,51.61734,0.04355,,roding valley
