station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display
hyde park corner,1,271,14.008309416427497,0.0,0,0.0,0.1820399877074015,0.054611996312220454,Hyde Park Corner
st. pauls,1,271,14.00541205412054,0.0,0,0.0,0.18128991623913304,0.054386974871739914,St. Pauls
piccadilly circus,1,271,14.004400710673773,0.0,0,0.0,0.18102809883983176,0.05430842965194953,Piccadilly Circus
caledonian road,1,271,14.00273336066694,0.0,0,0.0,0.1805964539382815,0.05417893618148445,Caledonian Road
chancery lane,1,271,14.001093344266776,0.0,0,0.0,0.18017188518265764,0.054051565554797294,Chancery Lane
russell square,1,271,14.000956676233429,0.0,0,0.0,0.1801365044530223,0.05404095133590669,Russell Square
marylebone,1,271,14.000765340986744,0.0,0,0.0,0.18008697143153315,0.054026091429459945,Marylebone
angel,1,271,13.999835998359984,0.0,0,0.0,0.179846382470013,0.053953914741003896,Angel
farringdon,1,271,13.999835998359984,0.0,0,0.0,0.179846382470013,0.053953914741003896,Farringdon
regents park,1,271,13.998059313926472,0.0,0,0.0,0.1793864329847538,0.053815929895426134,Regents Park
aldgate east,1,271,13.997922645893125,0.0,0,0.0,0.17935105225511844,0.05380531567653553,Aldgate East
charing cross,1,271,13.9976766434331,0.0,0,0.0,0.17928736694177508,0.05378621008253252,Charing Cross
willesden green,1,271,13.996993303266366,0.0,0,0.0,0.17911046329359875,0.053733138988079625,Willesden Green
knightsbridge,1,271,13.996774634413011,0.0,0,0.0,0.17905385412618227,0.05371615623785468,Knightsbridge
tower hill,1,271,13.996282629492962,0.0,0,0.0,0.17892648349949505,0.05367794504984851,Tower Hill
leicester square,1,271,13.996009293426267,0.0,0,0.0,0.17885572204022435,0.0536567166120673,Leicester Square
st. jamess park,1,271,13.995817958179583,0.0,0,0.0,0.1788061890187352,0.053641856705620564,St. Jamess Park
old street,1,271,13.995817958179583,0.0,0,0.0,0.1788061890187352,0.053641856705620564,Old Street
barbican,1,271,13.995817958179583,0.0,0,0.0,0.1788061890187352,0.053641856705620564,Barbican
edgware road (bakerloo),1,271,13.99404127374607,0.0,0,0.0,0.17834623953347603,0.05350387186004281,Edgware Road (Bakerloo)
st. johns wood,1,271,13.993795271286046,0.0,0,0.0,0.17828255422013264,0.05348476626603979,St. Johns Wood
goodge street,1,271,13.990979909799098,0.0,0,0.0,0.1775537111896453,0.05326611335689359,Goodge Street
southwark,1,271,13.990788574552413,0.0,0,0.0,0.17750417816815617,0.05325125345044685,Southwark
lambeth north,1,271,13.990515238485719,0.0,0,0.0,0.17743341670888543,0.053230025012665626,Lambeth North
covent garden,1,271,13.989230558972256,0.0,0,0.0,0.17710083785031344,0.053130251355094034,Covent Garden
west hampstead,1,271,13.98857455241219,0.0,0,0.0,0.176931010348064,0.0530793031044192,West Hampstead
swiss cottage,1,271,13.98857455241219,0.0,0,0.0,0.176931010348064,0.0530793031044192,Swiss Cottage
mornington crescent,1,271,13.98764520978543,0.0,0,0.0,0.17669042138654384,0.05300712641596315,Mornington Crescent
canary wharf,1,271,13.986934536012027,0.0,0,0.0,0.1765064415924406,0.05295193247773218,Canary Wharf
elephant and castle,1,271,13.98537652043187,0.0,0,0.0,0.1761031012745979,0.05283093038237937,Elephant And Castle
aldgate,1,271,13.984857181905152,0.0,0,0.0,0.17596865450198382,0.052790596350595145,Aldgate
mansion house,1,271,13.984720513871805,0.0,0,0.0,0.17593327377234846,0.05277998213170454,Mansion House
roding valley,1,271,13.983709170425037,0.0,0,0.0,0.17567145637304718,0.05270143691191415,Roding Valley
neasden,1,271,13.98316249829165,0.0,0,0.0,0.1755299334545062,0.05265898003635186,Neasden
borough,1,271,13.982533825338253,0.0,0,0.0,0.17536718209818367,0.0526101546294551,Borough
kilburn,1,271,13.982260489271559,0.0,0,0.0,0.17529642063891293,0.05258892619167388,Kilburn
dollis hill,1,271,13.982260489271559,0.0,0,0.0,0.17529642063891293,0.05258892619167388,Dollis Hill
holloway road,1,271,13.98223315566489,0.0,0,0.0,0.17528934449298605,0.05258680334789582,Holloway Road
bow road,1,271,13.981112477791445,0.0,0,0.0,0.17499922250997677,0.052499766752993025,Bow Road
whitechapel,1,271,13.980073800738007,0.0,0,0.0,0.17473032896474813,0.05241909868942444,Whitechapel
west kensington,1,271,13.979773131064643,0.0,0,0.0,0.17465249135955052,0.05239574740786516,West Kensington
newbury park,1,271,13.978789121224546,0.0,0,0.0,0.17439775010617659,0.05231932503185297,Newbury Park
kensington (olympia),1,271,13.978761787617875,0.0,0,0.0,0.17439067396024924,0.05231720218807477,Kensington (Olympia)
monument,1,271,13.978160448271149,0.0,0,0.0,0.17423499874985404,0.05227049962495621,Monument
canning town,1,271,13.97813311466448,0.0,0,0.0,0.17422792260392714,0.05226837678117814,Canning Town
brixton,1,271,13.97769577695777,0.0,0,0.0,0.1741147042690942,0.05223441128072826,Brixton
stepney green,1,271,13.97676643433101,0.0,0,0.0,0.17387411530757402,0.052162234592272205,Stepney Green
battersea power,1,271,13.976657099904333,0.0,0,0.0,0.173845810723866,0.0521537432171598,Battersea Power
arsenal,1,271,13.97627442941096,0.0,0,0.0,0.17374674468088683,0.05212402340426605,Arsenal
north greenwich,1,271,13.97542708760421,0.0,0,0.0,0.17352738415714825,0.05205821524714447,North Greenwich
cannon street,1,271,13.974306409730763,0.0,0,0.0,0.1732372621741385,0.05197117865224155,Cannon Street
bromley-by-bow,1,271,13.969413694136941,0.0,0,0.0,0.1719706320531948,0.05159118961595844,Bromley-By-Bow
ravenscourt park,1,271,13.96908569085691,0.0,0,0.0,0.1718857183020703,0.05156571549062109,Ravenscourt Park
chiswick park,1,271,13.966215662156621,0.0,0,0.0,0.1711427229797287,0.05134281689391861,Chiswick Park
stamford brook,1,271,13.964821648216482,0.0,0,0.0,0.1707818395374487,0.05123455186123461,Stamford Brook
