Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date,Line,Line_clean
2017-18,3,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.47,1.63,Bakerloo,bakerloo
2017-18,3,Line Operations - Central Line,Excess Journey Time - Trains,2.7,2.48,Central,central
2017-18,3,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.04,2.96,Circle and Hammersmith,circle and hammersmith
2017-18,3,Line Operations - District Line,Excess Journey Time - Trains,3.97,3.33,District,district
2017-18,3,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.21,1.2,Jubilee,jubilee
2017-18,3,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.7,2.03,Metropolitan,metropolitan
2017-18,3,Line Operations - Northern Line,Excess Journey Time - Trains,1.18,1.07,Northern,northern
2017-18,3,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.61,3.1,Piccadilly,piccadilly
2017-18,3,Line Operations - Victoria Line,Excess Journey Time - Trains,1.27,1.04,Victoria,victoria
2017-18,3,London Underground Network,Excess Journey Time - Total,4.48,4.19,London Underground Network,london underground network
2017-18,4,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.43,1.58,Bakerloo,bakerloo
2017-18,4,Line Operations - Central Line,Excess Journey Time - Trains,2.8,2.56,Central,central
2017-18,4,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.0,3.22,Circle and Hammersmith,circle and hammersmith
2017-18,4,Line Operations - District Line,Excess Journey Time - Trains,3.73,3.43,District,district
2017-18,4,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.32,1.23,Jubilee,jubilee
2017-18,4,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.83,1.98,Metropolitan,metropolitan
2017-18,4,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.13,Northern,northern
2017-18,4,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.84,3.28,Piccadilly,piccadilly
2017-18,4,Line Operations - Victoria Line,Excess Journey Time - Trains,1.03,1.04,Victoria,victoria
2017-18,4,London Underground Network,Excess Journey Time - Total,4.59,4.29,London Underground Network,london underground network
2017-18,5,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.09,1.68,Bakerloo,bakerloo
2017-18,5,Line Operations - Central Line,Excess Journey Time - Trains,2.61,2.57,Central,central
2017-18,5,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.94,3.16,Circle and Hammersmith,circle and hammersmith
2017-18,5,Line Operations - District Line,Excess Journey Time - Trains,3.11,3.37,District,district
2017-18,5,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.16,1.22,Jubilee,jubilee
2017-18,5,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.03,1.79,Metropolitan,metropolitan
2017-18,5,Line Operations - Northern Line,Excess Journey Time - Trains,1.24,1.15,Northern,northern
2017-18,5,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.55,3.14,Piccadilly,piccadilly
