station,degree_centrality,betweenness_centrality,closeness_centrality
dagenham heathway,0.007380073800738007,0.03635369687030204,0.05125780215623227
eastcote,0.007380073800738007,0.03635369687030204,0.06952283222165213
parsons green,0.007380073800738007,0.03635369687030204,0.07342183690056896
north ealing,0.007380073800738007,0.03618444544233802,0.06836528758829465
sudbury hill,0.007380073800738007,0.03531115840258931,0.06836528758829465
london bridge,0.014760147601476014,0.03485262630404084,0.09582743988684583
redbridge,0.007380073800738007,0.03181631816318163,0.06364490371066228
park royal,0.007380073800738007,0.0316630113391081,0.06560154926167998
embankment,0.014760147601476014,0.031579426905380174,0.10516103996895615
sudbury town,0.007380073800738007,0.03126122901440654,0.0657926681233309
alperton,0.007380073800738007,0.02956129561295612,0.0641268338854709
bounds green,0.007380073800738007,0.02919229192291923,0.0665193912616593
hounslow west,0.007380073800738007,0.02919229192291923,0.05033432392273403
greenford,0.007380073800738007,0.02919229192291923,0.05961284645842499
putney bridge,0.007380073800738007,0.02919229192291923,0.06855552744750822
ruislip manor,0.007380073800738007,0.02919229192291923,0.06514423076923077
tooting bec,0.007380073800738007,0.02919229192291923,0.06382477626000942
dagenham east,0.007380073800738007,0.02919229192291923,0.04883762840151379
rickmansworth,0.007380073800738007,0.02919229192291923,0.05628245067497404
wembley central,0.007380073800738007,0.02919229192291923,0.055294837788206486
brent cross,0.007380073800738007,0.02919229192291923,0.06558567279767667
buckhurst hill,0.007380073800738007,0.02919229192291923,0.05707666385846672
latimer road,0.007380073800738007,0.02919229192291923,0.07176906779661017
oval,0.007380073800738007,0.028431506537287585,0.09255464480874318
st. jamess park,0.007380073800738007,0.028180948476151414,0.10573546625048771
gants hill,0.007380073800738007,0.024764247642476426,0.0600088573959256
regents park,0.007380073800738007,0.023304177486219334,0.10923014913341395
bermondsey,0.007380073800738007,0.02235479021456883,0.08847535096310806
chorleywood,0.007380073800738007,0.021976219762197623,0.05335696003150226
wood lane,0.007380073800738007,0.021976219762197623,0.06707920792079208
elm park,0.007380073800738007,0.021976219762197623,0.04661964562188199
hatton cross,0.01107011070110701,0.021976219762197623,0.04798158640226629
tooting broadway,0.007380073800738007,0.021976219762197623,0.06008869179600887
west finchley,0.007380073800738007,0.021976219762197623,0.05845556514236411
ruislip,0.007380073800738007,0.021976219762197623,0.061256781193490054
hendon central,0.007380073800738007,0.021976219762197623,0.06164695177434031
north wembley,0.007380073800738007,0.021976219762197623,0.052468538238141335
loughton,0.007380073800738007,0.021976219762197623,0.05407023144453312
east putney,0.007380073800738007,0.021976219762197623,0.06426369456959924
seven sisters,0.007380073800738007,0.021976219762197623,0.08207147183525136
northolt,0.007380073800738007,0.021976219762197623,0.056340956340956344
kingsbury,0.007380073800738007,0.021976219762197623,0.08967571144937128
arnos grove,0.007380073800738007,0.021976219762197623,0.06247118487782388
holborn,0.014760147601476014,0.01962001948061807,0.10355368742835308
temple,0.007380073800738007,0.01903694592501478,0.09548978153629316
tottenham court road,0.014760147601476014,0.018700493089587013,0.10665092483274302
roding valley,0.007380073800738007,0.018532185321853217,0.057124789207419896
aldgate east,0.01107011070110701,0.01852945196118628,0.09155405405405405
newbury park,0.007380073800738007,0.017780511138444716,0.05676581483033096
canada water,0.007380073800738007,0.01681517926290375,0.08323095823095823
west acton,0.007380073800738007,0.016186050749396386,0.06909739928607853
ealing broadway,0.007380073800738007,0.01572593503712815,0.06857287449392713
chalfont and latimer,0.01107011070110701,0.014732813994806615,0.05070159027128157
south ruislip,0.007380073800738007,0.014705480388137215,0.05338849487785658
queensbury,0.007380073800738007,0.014705480388137215,0.08242092457420924
ickenham,0.007380073800738007,0.014705480388137215,0.05778251599147122
colindale,0.007380073800738007,0.014705480388137215,0.05812955812955813
tottenham hale,0.007380073800738007,0.014705480388137215,0.07595291479820628
south kenton,0.007380073800738007,0.014705480388137215,0.04989872951574296
colliers wood,0.007380073800738007,0.014705480388137215,0.05674204355108878
southgate,0.007380073800738007,0.014705480388137215,0.05886185925282363
hornchurch,0.007380073800738007,0.014705480388137215,0.04457970060865274
gunnersbury,0.007380073800738007,0.014705480388137215,0.07334235453315291
woodside park,0.007380073800738007,0.014705480388137215,0.05528355773153815
southfields,0.007380073800738007,0.014705480388137215,0.060450591122016506
debden,0.007380073800738007,0.014705480388137215,0.05134520651762031
shepherds bush market,0.007380073800738007,0.014705480388137215,0.06293543892243382
southwark,0.007380073800738007,0.013045874903193495,0.09865307608299964
piccadilly circus,0.014760147601476014,0.012078970260602085,0.1084
blackfriars,0.007380073800738007,0.011984875404309642,0.08753229974160207
canary wharf,0.007380073800738007,0.011617238394606148,0.07864190365641323
